cluster,token,τ,Φ,order
1,call,58,0.975993574,2
1,call,64,0.924788296,3
1,call,110,0.821186602,4
1,call,288,0.896636009,5
0,can,22,0.643527091,0
0,can,23,0.758553207,1
0,can,26,0.627206326,2
0,can,52,0.647394419,3
0,can,52,0.779897749,4
0,can,52,0.779897749,5
0,can,52,0.615140259,6
0,can,52,0.682097137,7
0,can,211,0.810451686,8
1,can,24,0.720446885,0
1,can,24,0.703784645,1
1,can,52,0.63484472,2
1,can,52,0.624732733,3
1,can,52,0.641601563,4
1,can,52,0.641601563,5
1,can,52,0.575113356,6
1,can,52,0.538166463,7
1,can,52,0.683300853,8
1,can,52,0.683300853,9
0,cassie,36,0.835299194,0
0,cassie,36,0.805264294,1
0,cassie,36,0.884643376,2
0,cassie,38,0.867506623,3
0,cassie,38,0.941771686,4
0,cassie,40,0.881417334,5
0,cassie,40,0.923252225,6
1,cassie,52,0.87511301,0
1,cassie,52,0.926480949,1
1,cassie,52,0.926480949,2
1,cassie,52,0.801707208,3
1,cassie,151,0.779786646,4
1,cassie,232,0.836187303,5
1,cassie,232,0.834635794,6
1,cassie,262,0.926480949,7
2,cassie,52,0.816301644,0
2,cassie,52,0.823786497,1
2,cassie,52,0.850515425,2
2,cassie,52,0.850515425,3
2,cassie,52,0.869791985,4
2,cassie,52,0.933968961,5
2,cassie,52,0.933968961,6
2,cassie,52,0.933968961,7
2,cassie,52,0.884560525,8
2,cassie,52,0.890251517,9
3,cassie,52,0.928558767,0
3,cassie,52,0.968796194,1
3,cassie,52,0.969417632,2
3,cassie,52,0.968796194,3
3,cassie,52,0.969417632,4
3,cassie,52,0.968796194,5
3,cassie,52,0.840664685,6
4,cassie,52,0.905039608,0
4,cassie,52,0.95206821,1
4,cassie,52,0.963007808,2
4,cassie,52,0.97332716,3
4,cassie,52,0.951678991,4
4,cassie,52,0.948167741,5
5,cassie,20,0.771505594,0
5,cassie,22,0.758274853,1
5,cassie,22,0.777529418,2
5,cassie,23,0.797570705,3
5,cassie,23,0.79400295,4
5,cassie,23,0.679576933,5
5,cassie,26,0.79375428,6
5,cassie,26,0.712830961,7
5,cassie,26,0.779128969,8
5,cassie,26,0.758506238,9
6,cassie,25,0.892581761,0
6,cassie,52,0.781563044,1
6,cassie,56,0.943813205,2
6,cassie,57,0.943813205,3
6,cassie,205,0.892581761,4
0,chemical,52,0.757730365,0
0,chemical,52,0.936356068,1
0,chemical,52,0.936356068,2
0,chemical,52,0.936356068,3
0,chemical,52,0.682913005,4
0,chemical,52,0.936356068,5
0,chemical,52,0.550098598,6
0,chemical,52,0.936356068,7
0,chemical,52,0.757730365,8
1,chemical,52,0.906892478,0
1,chemical,52,0.908618271,1
1,chemical,52,0.918149352,2
1,chemical,52,0.923063457,3
1,chemical,52,0.918149352,4
1,chemical,52,0.923063457,5
0,clean,37,0.69213748,0
0,clean,37,0.773333788,1
0,clean,37,0.849352658,2
0,clean,37,0.794495761,3
0,clean,37,0.642545938,4
0,clean,39,0.76581192,5
0,clean,39,0.694199622,6
0,clean,41,0.559969187,7
0,clean,71,0.683559716,8
1,clean,23,0.611613929,0
1,clean,23,0.604957283,1
1,clean,24,0.765094519,2
1,clean,51,0.567354023,3
1,clean,56,0.765094519,4
1,clean,57,0.522023916,5
1,clean,77,0.616117656,6
1,clean,101,0.500330985,7
1,clean,249,0.548814833,8
0,clear,25,0.868467093,0
0,clear,26,0.868467093,1
0,clear,52,0.502395093,2
0,clear,52,0.556238115,3
0,clear,52,0.594670653,4
0,clear,56,0.868467093,5
0,clear,104,0.73813796,6
0,clear,147,0.868467093,7
0,clear,262,0.594670653,8
1,clear,52,0.796169519,0
1,clear,52,0.796169519,1
1,clear,52,0.619083524,2
1,clear,52,0.673038602,3
1,clear,52,0.663847923,4
1,clear,52,0.796169519,5
1,clear,52,0.645206928,6
1,clear,52,0.7531268,7
1,clear,52,0.775888383,8
1,clear,52,0.775888383,9
0,clearly,25,0.549547195,0
0,clearly,52,0.761823833,1
0,clearly,52,0.761823833,2
0,clearly,52,0.722966313,3
0,clearly,52,0.722966313,4
0,clearly,52,0.756055415,5
0,clearly,52,0.718220532,6
0,clearly,56,0.549547195,7
0,clearly,190,0.463921636,8
1,clearly,30,0.654493928,0
1,clearly,43,0.626575649,1
1,clearly,52,0.618214607,2
1,clearly,164,0.617084026,3
1,clearly,211,0.609715879,4
0,cluster,25,0.871280968,0
0,cluster,26,0.876914859,1
0,cluster,56,0.871280968,2
0,cluster,77,0.728182435,3
0,cluster,147,0.876914859,4
0,cluster,277,0.785678923,5
0,cluster,279,0.771907628,6
0,cluster,281,0.739650726,7
1,cluster,26,0.870168984,0
1,cluster,125,0.835316896,1
1,cluster,125,0.831269383,2
1,cluster,132,0.835316896,3
1,cluster,132,0.831269383,4
1,cluster,147,0.870168984,5
0,clustering,25,0.722369313,0
0,clustering,26,0.769769907,1
0,clustering,34,0.725367069,2
0,clustering,43,0.609625459,3
0,clustering,49,0.702003181,4
0,clustering,49,0.469469309,5
0,clustering,53,0.796446025,6
0,clustering,55,0.82739526,7
0,clustering,56,0.722369313,8
0,clustering,61,0.60522151,9
1,clustering,125,0.902947664,0
1,clustering,126,0.812140644,1
1,clustering,127,0.860643566,2
1,clustering,132,0.902947664,3
1,clustering,132,0.81962502,4
1,clustering,132,0.860643566,5
0,cognitive,52,0.756693542,0
0,cognitive,52,0.74439311,1
0,cognitive,52,0.812859833,2
0,cognitive,52,0.870864272,3
0,cognitive,52,0.651071131,4
0,cognitive,52,0.870864272,5
0,cognitive,52,0.870864272,6
